dim,points,k,itopk_size,time_ms,recall,status
3,500000,40,512,7730.600501876324,0.7450699806213379,ok
3,500000,40,512,7625.803328119218,0.7392171025276184,ok
3,500000,40,512,7657.70572097972,0.7529141306877136,ok
3,500000,100,32,,,error
3,500000,100,32,,,error
3,500000,100,32,,,error
3,500000,100,64,,,error
3,500000,100,64,,,error
3,500000,100,64,,,error
3,500000,100,128,1134.166122879833,0.6752089262008667,ok
3,500000,100,128,1143.4988309629261,0.6986300945281982,ok
3,500000,100,128,1125.3905280027539,0.7064363360404968,ok
3,500000,100,256,2412.8144041169435,0.7560756802558899,ok
3,500000,100,256,2442.9508401080966,0.7351284623146057,ok
3,500000,100,256,2447.1004148945212,0.7246021628379822,ok
3,500000,100,512,7707.488839048892,0.7865772843360901,ok
3,500000,100,512,7706.321238074452,0.7743982076644897,ok
3,500000,100,512,7695.640689926222,0.7824514508247375,ok
5,500000,40,32,,,error
5,500000,40,32,,,error
5,500000,40,32,,,error
5,500000,40,64,,,error
5,500000,40,64,729.846826987341,0.0028524501249194145,ok
5,500000,40,64,,,error
5,500000,40,128,1061.2429189495742,0.003118949942290783,ok
5,500000,40,128,,,error
5,500000,40,128,1242.3279811628163,0.004423200152814388,ok
5,500000,40,256,,,error
5,500000,40,256,,,error
5,500000,40,256,,,error
5,500000,40,512,,,error
5,500000,40,512,,,error
5,500000,40,512,10478.204086888582,0.0142815001308918,ok
2,100000,40,32,,,error
2,100000,40,32,,,error
2,100000,40,32,,,error
2,100000,40,64,144.28558596409857,0.9370235204696655,ok
2,100000,40,64,147.10942702367902,0.9208062291145325,ok
2,100000,40,64,146.68729016557336,0.9393234848976135,ok
2,100000,40,128,278.40634202584624,0.9376264810562134,ok
2,100000,40,128,278.39114307425916,0.9292194843292236,ok
2,100000,40,128,272.4623498506844,0.9496022462844849,ok
2,100000,40,256,534.5200768206269,0.9411492347717285,ok
2,100000,40,256,545.6465599127114,0.9492907524108887,ok
2,100000,40,256,537.3954859096557,0.944842517375946,ok
2,100000,40,512,1965.482119936496,0.9467862248420715,ok
