dim,points,k,tau_query,time_ms,recall_set,recall_dist,status
6,500000,40,0.3,492.3493140377104,0.9469823837280273,0.94708575,ok
6,500000,40,0.3,491.42920412123203,0.9470149874687195,0.9471182,ok
6,500000,40,0.5,499.3181312456727,0.9494302272796631,0.9495338,ok
6,500000,40,0.5,497.5424939766526,0.949373722076416,0.94947775,ok
6,500000,40,0.5,498.095178976655,0.9494091272354126,0.94951275,ok
6,500000,40,0.64,502.46350932866335,0.9514327049255371,0.95153725,ok
6,500000,40,0.64,501.69427460059524,0.9514760375022888,0.95158,ok
6,500000,40,0.64,499.73424803465605,0.9514449238777161,0.95154885,ok
6,500000,40,0.8,501.47548085078597,0.9536488056182861,0.9537532,ok
6,500000,40,0.8,501.208646222949,0.9536468982696533,0.95375135,ok
6,500000,40,0.8,504.1395490989089,0.9536426067352295,0.95374705,ok
7,500000,40,0.3,316.83363672345877,0.9629151821136475,0.9629805,ok
7,500000,40,0.3,316.46233377978206,0.9629151821136475,0.96298045,ok
7,500000,40,0.3,315.0472780689597,0.9629155993461609,0.96298085,ok
7,500000,40,0.5,331.7464152351022,0.964788019657135,0.96485425,ok
7,500000,40,0.5,331.2671589665115,0.9647876024246216,0.96485385,ok
7,500000,40,0.5,333.4098500199616,0.9647887945175171,0.964855,ok
7,500000,40,0.64,338.3563938550651,0.9655446410179138,0.96561145,ok
7,500000,40,0.64,336.8486128747463,0.9655444025993347,0.9656113,ok
7,500000,40,0.64,334.611251950264,0.9655464291572571,0.96561325,ok
7,500000,40,0.8,339.3918019719422,0.9660654067993164,0.96613285,ok
7,500000,40,0.8,339.6455910988152,0.9660660028457642,0.96613345,ok
7,500000,40,0.8,340.49004781991243,0.9660900235176086,0.96615755,ok
8,500000,40,0.3,323.35193920880556,0.9490342140197754,0.9490961,ok
8,500000,40,0.3,322.11791491135955,0.9490342140197754,0.9490962,ok
8,500000,40,0.3,322.4654430523515,0.9490377902984619,0.94909975,ok
8,500000,40,0.5,345.38094606250525,0.9503449201583862,0.9504075,ok
8,500000,40,0.5,344.97773507609963,0.9503518342971802,0.95041455,ok
8,500000,40,0.5,344.55567598342896,0.9503448009490967,0.95040745,ok
8,500000,40,0.64,354.2188387364149,0.9508844017982483,0.95094725,ok
8,500000,40,0.64,354.3254812248051,0.9508904218673706,0.9509533,ok
8,500000,40,0.64,355.54230213165283,0.9508880376815796,0.95095095,ok
8,500000,40,0.8,360.5826240964234,0.9513134956359863,0.95137655,ok
8,500000,40,0.8,358.86587714776397,0.9513174295425415,0.9513804,ok
8,500000,40,0.8,366.1929131485522,0.9513174295425415,0.9513804,ok
9,500000,40,0.3,327.0593611523509,0.9490340948104858,0.94909605,ok
9,500000,40,0.3,323.7903411500156,0.9490342140197754,0.9490961,ok
9,500000,40,0.3,322.7473087608814,0.9490343332290649,0.9490962,ok
9,500000,40,0.5,346.6833522543311,0.9503446817398071,0.9504074,ok
9,500000,40,0.5,345.58188915252686,0.9503520131111145,0.95041465,ok
9,500000,40,0.5,342.6542948000133,0.9503518342971802,0.9504145,ok
9,500000,40,0.64,350.79787112772465,0.9508805871009827,0.9509434,ok
9,500000,40,0.64,351.3937168754637,0.9508877992630005,0.9509507,ok
9,500000,40,0.64,353.0578431673348,0.9508844017982483,0.9509473,ok
9,500000,40,0.8,356.80648079141974,0.9513174295425415,0.9513804,ok
9,500000,40,0.8,356.2373835593462,0.9513140320777893,0.951377,ok
9,500000,40,0.8,357.09737008437514,0.9513136148452759,0.95137655,ok
10,500000,40,0.3,324.6993231587112,0.9490429162979126,0.9491113,ok
10,500000,40,0.3,322.6129380054772,0.9490420818328857,0.94911055,ok
10,500000,40,0.3,323.28581204637885,0.9490422010421753,0.9491106,ok
10,500000,40,0.5,342.28913066908717,0.9503204226493835,0.95038965,ok
10,500000,40,0.5,340.79384384676814,0.9503206014633179,0.9503898,ok
10,500000,40,0.5,344.42224400117993,0.9503214359283447,0.95039055,ok
