algorithm,dim,points,k,memory_mb,status
ggnn,2,1500000,40,174.0636159999999,ok
ggnn,4,1500000,40,199.22944000000007,ok
ggnn,6,1500000,40,224.395264,ok
ggnn,7,1500000,40,236.97817599999985,ok
ggnn,8,1500000,40,245.36678400000005,ok
ggnn,9,1500000,40,257.9496959999999,ok
ggnn,10,1500000,40,270.532608,ok
ggnn,3,2000000,10,249.56108799999993,ok
ggnn,3,2000000,40,249.56108799999993,ok
ggnn,3,2000000,100,249.56108799999993,ok
ggnn,5,2000000,40,283.11552000000006,ok
ggnn,2,2000000,40,232.78387199999997,ok
ggnn,4,2000000,40,266.3383039999999,ok
ggnn,6,2000000,40,295.6984319999999,ok
ggnn,7,2000000,40,312.47564799999986,ok
ggnn,8,2000000,40,329.25286400000005,ok
ggnn,9,2000000,40,346.03008,ok
ggnn,10,2000000,40,362.80729599999995,ok
ggnn,3,2500000,10,310.37849600000004,ok
ggnn,3,2500000,40,310.37849600000004,ok
ggnn,3,2500000,100,310.37849600000004,ok
ggnn,5,2500000,40,348.12723200000005,ok
ggnn,2,2500000,40,289.406976,ok
ggnn,4,2500000,40,331.35001599999987,ok
ggnn,6,2500000,40,369.0987519999999,ok
ggnn,7,2500000,40,390.07027199999993,ok
ggnn,8,2500000,40,411.041792,ok
ggnn,9,2500000,40,427.81900799999994,ok
ggnn,10,2500000,40,448.790528,ok
ggnn,3,3000000,10,371.1959039999999,ok
ggnn,3,3000000,40,371.1959039999999,ok
ggnn,3,3000000,100,371.1959039999999,ok
ggnn,5,3000000,40,417.3332479999999,ok
ggnn,2,3000000,40,346.03008,ok
ggnn,4,3000000,40,392.167424,ok
ggnn,6,3000000,40,442.49907200000007,ok
ggnn,7,3000000,40,467.664896,ok
ggnn,8,3000000,40,488.63641600000005,ok
ggnn,9,3000000,40,513.80224,ok
ggnn,10,3000000,40,538.9680639999999,ok
ggnn,3,3500000,10,432.01331200000004,ok
ggnn,3,3500000,40,432.01331200000004,ok
ggnn,3,3500000,100,432.01331200000004,ok
ggnn,5,3500000,40,486.539264,ok
ggnn,2,3500000,40,402.653184,ok
ggnn,4,3500000,40,457.17913599999997,ok
ggnn,6,3500000,40,515.899392,ok
ggnn,7,3500000,40,541.065216,ok
ggnn,8,3500000,40,570.425344,ok
ggnn,9,3500000,40,599.785472,ok
ggnn,10,3500000,40,624.951296,ok
ggnn,3,4000000,10,490.7335679999999,ok
ggnn,3,4000000,40,490.7335679999999,ok
ggnn,3,4000000,100,490.7335679999999,ok
ggnn,5,4000000,40,557.8424319999999,ok
ggnn,2,4000000,40,461.37343999999985,ok
ggnn,4,4000000,40,524.288,ok
ggnn,6,4000000,40,587.20256,ok
ggnn,7,4000000,40,620.7569919999999,ok
ggnn,8,4000000,40,654.311424,ok
ggnn,9,4000000,40,683.671552,ok
ggnn,10,4000000,40,717.2259839999999,ok
ggnn,3,4500000,10,551.550976,ok
ggnn,3,4500000,40,551.550976,ok
ggnn,3,4500000,100,551.550976,ok
ggnn,5,4500000,40,622.8541439999999,ok
ggnn,2,4500000,40,517.9965439999999,ok
ggnn,4,4500000,40,589.299712,ok
ggnn,6,4500000,40,660.6028799999999,ok
ggnn,7,4500000,40,698.3516159999999,ok
ggnn,8,4500000,40,731.906048,ok
ggnn,9,4500000,40,769.6547840000001,ok
ggnn,10,4500000,40,803.2092159999997,ok
ggnn,3,5000000,10,612.3683839999999,ok
ggnn,3,5000000,40,612.3683839999999,ok
ggnn,3,5000000,100,612.3683839999999,ok
ggnn,5,5000000,40,692.06016,ok
ggnn,2,5000000,40,574.6196479999999,ok
ggnn,4,5000000,40,654.311424,ok
ggnn,6,5000000,40,734.0031999999999,ok
ggnn,7,5000000,40,771.7519359999999,ok
ggnn,8,5000000,40,813.6949759999998,ok
ggnn,9,5000000,40,851.4437119999998,ok
ggnn,10,5000000,40,893.3867519999999,ok
