size,k,faiss_time,fgc_time,count,dimension
700000,40,9936.831593513489,157.38224983215332,2,3
700000,100,10809.05306339264,222.73409366607663,2,3
700000,10,7781.2312841415405,950.0885009765624,2,5
700000,40,9984.55810546875,1315.882444381714,2,5
700000,100,10876.774311065674,2029.2174816131592,2,5
800000,10,10118.019461631777,122.48373031616212,2,3
800000,40,13081.902503967283,167.60969161987305,2,3
800000,100,14387.796878814695,301.48375034332275,2,3
800000,10,10168.088436126707,1155.9566259384155,2,5
800000,40,13291.385412216188,1681.180715560913,2,5
800000,100,14135.99443435669,2513.7243270874023,2,5
900000,10,12897.587299346924,173.87545108795166,2,3
900000,40,16296.047449111938,234.76576805114743,2,3
900000,100,17392.340660095215,346.1679220199585,2,3
900000,10,12893.225193023682,1386.846423149109,2,5
900000,40,16293.008089065552,1929.1921854019165,2,5
900000,100,17398.895621299744,2978.4847497940063,2,5
1000000,10,15667.659401893616,215.051531791687,2,3
1000000,40,20070.728182792664,267.06838607788086,2,3
1000000,100,21805.59003353119,413.5973453521729,2,3
1000000,10,15693.81332397461,1609.4633340835571,2,5
1000000,40,20044.60597038269,2306.146502494812,2,5
1000000,100,21720.821857452393,3536.8257761001587,2,5
1500000,10,35027.297139167786,455.7812213897705,2,3
1500000,40,44449.602365493774,532.0143699645996,2,3
1500000,100,48046.40197753906,701.1805772781372,2,3
1500000,10,35516.98422431946,3160.3682041168213,2,5
1500000,40,44755.15818595886,4588.240265846252,2,5
1500000,100,48504.26530838013,6744.605898857117,2,5
2000000,10,63502.37190723419,823.6931562423706,2,3
2000000,40,79930.65845966339,947.5183486938477,2,3
2000000,100,86971.55940532684,1379.680037498474,2,3
2000000,10,63710.76834201813,5206.4255475997925,2,5
2000000,40,113608.37244987488,11280.79903125763,2,5
2000000,100,54243.77202987671,10873.08669090271,2,5
2500000,10,99464.7215604782,1344.8091745376587,2,3
2500000,40,60464.81108665466,1461.8653059005735,2,3
2500000,100,66244.89378929138,2158.453941345215,2,3
2500000,10,97639.05608654022,7260.954737663269,2,5
2500000,40,121983.93654823305,10818.385124206545,2,5
2500000,100,131783.29181671143,15087.763667106628,2,5
3000000,10,139948.76527786255,1978.093862533569,2,3
3000000,40,174851.32932662964,2092.6886796951294,2,3
3000000,100,187979.4363975525,2812.010407447815,2,3
3000000,10,139751.5331506729,9679.425477981567,2,5
3000000,40,220471.2998867035,15276.442050933838,2,5
3000000,100,187023.10347557068,20468.16658973694,1,5
3500000,10,193768.53048801425,2674.272894859314,2,3
3500000,40,252084.83743667605,2935.049533843994,2,3
3500000,100,261214.87545967105,3793.2770252227774,1,3
3500000,10,191448.0845928192,12111.690163612366,2,5
3500000,40,286830.3232192993,23067.01111793518,2,5
3500000,100,254974.0273952484,26354.331254959103,1,5
4000000,10,238516.29638671875,5072.432994842529,2,3
4000000,40,312763.4000778198,5438.06529045105,2,3
4000000,100,331298.75469207764,9344.04230117798,1,3
4000000,10,257730.56828975675,14966.25030040741,2,5
4000000,40,313237.8911972046,24910.006284713745,2,5
4000000,100,331529.74915504456,33051.883578300476,2,5
4500000,10,303919.26062107086,4443.740367889404,2,3
4500000,40,445007.5192451477,4689.661026000977,1,3
4500000,100,0.0,6166.223526000977,1,3
4500000,10,305664.77227211,18850.91781616211,1,5
4500000,40,0.0,32070.71018218994,1,5
4500000,100,0.0,41584.12575721741,1,5
5000000,10,388513.39292526245,5340.691566467285,1,3
5000000,40,0.0,5760.38122177124,1,3
5000000,100,0.0,7470.128774642944,1,3
5000000,10,0.0,21552.828550338745,1,5
5000000,40,0.0,37050.95362663269,1,5
5000000,100,0.0,48727.00476646423,1,5
5500000,10,0.0,6762.7387046813965,1,3
5500000,40,0.0,7358.091592788696,1,3
5500000,100,0.0,9287.501573562622,1,3
100000,10,190.69766998291016,0.0,1,1
100000,40,278.0768871307373,0.0,1,1
100000,100,291.8953895568848,0.0,1,1
100000,10,183.45880508422852,287.57381439208984,1,2
100000,40,288.9878749847412,24.94668960571289,1,2
100000,100,307.2161674499512,43.02024841308594,1,2
1000000,10,15944.600105285645,527.825117111206,1,2
1000000,40,19930.795669555664,640.4392719268799,1,2
1000000,100,21415.529012680057,1105.4370403289795,1,2
5000000,10,355281.81767463684,13754.88543510437,1,2
5000000,40,393133.93211364746,14571.979999542236,1,2
5000000,100,520211.4155292511,21400.69007873535,1,2
100000,10,185.70566177368164,27.56810188293457,1,3
100000,40,242.0787811279297,27.33922004699707,1,3
100000,100,301.8035888671875,40.96865653991699,1,3
1000000,10,15883.347511291504,230.5741310119629,1,3
1000000,40,20704.174280166622,255.1424503326416,1,3
1000000,100,21689.33606147766,357.1338653564453,1,3
5000000,10,378022.95422554016,5315.98424911499,1,3
5000000,40,495121.4308738709,5672.387599945068,1,3
5000000,100,578970.4020023346,7165.913343429565,1,3
100000,10,191.1919116973877,56.29825592041016,1,4
100000,40,227.71143913269043,81.67600631713867,1,4
100000,100,286.5915298461914,88.58370780944824,1,4
1000000,10,16052.98638343811,585.9806537628174,1,4
1000000,40,20427.396535873413,960.9260559082032,1,4
1000000,100,21491.979837417603,1546.3664531707764,1,4
5000000,10,380194.3573951721,7657.712697982788,1,4
5000000,40,492899.79338645935,10232.18321800232,1,4
5000000,100,578797.9264259338,16367.86127090454,1,4
100000,10,197.8275775909424,76.60746574401855,1,5
100000,40,239.83192443847656,108.85167121887208,1,5
100000,100,321.43521308898926,163.0110740661621,1,5
1000000,10,16054.851531982422,1647.1688747406006,1,5
1000000,40,20379.41861152649,2921.862840652466,1,5
1000000,100,21927.592277526855,3614.605665206909,1,5
5000000,10,382743.95084381104,22770.49684524536,1,5
5000000,40,516002.167224884,37734.31038856506,1,5
5000000,100,580436.5079402924,48764.960050582886,1,5
100000,10,196.92540168762207,130.89227676391602,1,6
100000,40,236.905574798584,186.9256496429443,1,6
100000,100,317.5342082977295,261.9593143463135,1,6
1000000,10,16109.472513198853,3147.603750228882,1,6
1000000,40,20300.91691017151,4457.68404006958,1,6
1000000,100,21555.38010597229,6224.090337753296,1,6
5000000,10,380933.58397483826,48007.81202316284,1,6
5000000,40,492209.6652984619,71637.97783851624,1,6
5000000,100,580398.3101844788,99525.0051021576,1,6
